Locus	P-value	F-value
BH.180C	6.356901424574618e-06	0.9979914845963749
AD.92L	5.0182846297965e-05	0.9943568381789726
GB.112L	0.00017459459100895906	0.9894740842729676
CH.238C	0.0004067342206655459	0.9839349180607883
GB.750C	0.0005521800924600763	0.9812820894456313
HH.143C	0.0006783371614073472	0.9792543862394313
GH.226C	0.0009351069571219301	0.9756437150415435
EC.306L	0.002671124731103964	0.9588470416619796
CD.173L	0.004637088006425321	0.945794639683477
BH.92L	0.007361537134313833	0.9317359035918328
BF.148C	0.007368610385902738	0.9317018047986692
SC5	0.007824843823476028	0.9296238642944279
CD.87L	0.01302931040998172	0.90926606279706
CD.800C	0.013287373682158723	0.908376792109009
DF.65L	0.01522857570118559	0.901942953725461
AD.292L	0.020399767585355	0.8866081970336216
DF.119L	0.02827955647155349	0.8666683342638708
BH.342C	0.02979357656430201	0.8631789578374034
VPMH19	0.03169183789356075	0.8589322930628549
GD.318C	0.03236471662523061	0.8574600539829992
BH.144L	0.0327331481745872	0.8566598490959297
CD.227C	0.03284109560542914	0.8564248180676408
HH.171C	0.03305552375978616	0.8559620172083384
BH.109L	0.05050054889034709	0.8224830981451234
FD.154L	0.05171781873783915	0.820392809049867
HH.159C	0.060847156527972825	0.8054801383985513
BF.116C	0.06517179042260157	0.7988308567186938
FD.167L	0.07489132303207528	0.7846989456029806
BF.168L	0.08166076357083411	0.7754335850353977
CD.730C	0.09469542894880194	0.7586933878595306
VPMH47	0.10413034973380296	0.7473521927090887
HH.360L	0.10889172514511271	0.7418437954402952
DF.250L	0.12409803351403732	0.7250981444198081
AD.112L	0.14014216549763295	0.7086416565920384
FD.90L	0.14358123254423083	0.7052519386896234
CD.329C	0.14629259645882078	0.7026145471900462
HH.90L	0.15714973604482882	0.6923292326898276
BH.106L	0.15716150653134575	0.6923183050210986
CH.70L	0.16079019300287636	0.6889683883422704
GH.157L	0.2029874166993312	0.6529378519397125
EC.198L	0.23953932215948823	0.6252135596691688
GD.222C	0.24218413046696943	0.6233161258499066
DFR	0.2586494672417802	0.6117544475782111
HH.440L	0.27434172455595696	0.6011633677805408
CH.690C	0.31662181541305123	0.5744374376213064
HH.375L	0.34527057040580056	0.5576414607874605
GD.97L	0.3825503924402961	0.537132092399117
CH.215L	0.3848063846806719	0.5359301862190611
GB.490C	0.39944423723581113	0.5282841202446673
BF.134C	0.4564742260190422	0.5002578181362984
BF.325L	0.46619269821023396	0.495737544969046
FD.98C	0.4791522906891647	0.48981619460425685
T7M24	0.47993483771623063	0.4894624458624419
CH.169C	0.5214643796957262	0.4712783820503197
GB.120C	0.540177495447991	0.4634418176144959
EC.83C	0.5484601191875561	0.46004671243995987
CC.318C	0.550290929914471	0.45930010944595867
CH.284C	0.5570374822773961	0.45655845085495095
EC.151L	0.5728515653493489	0.45024807487832663
GD.136C	0.5897132725711085	0.44366897899185387
FD.207L	0.6624521101854671	0.41692831099019334
GD.296C	0.8414501159869605	0.3603716652354906
BH.88C	0.8737615556939029	0.351342456142421
GH.580L	0.8747908816549071	0.35105968836070234
C6L9	0.8823584149508594	0.3489813339433966
GD.118C	0.8907950597619643	0.3466938886569748
DF.328C	0.9445773192173522	0.3325796406619087
GD.350L	0.9973101398827843	0.31947964080830193
GB.102L	1.000549404597464	0.31870705854935255
BH.81L	1.0258238775079433	0.3126803205519977
DF.93C	1.0269389018377366	0.31241832110853635
CD.108L	1.0343038567095102	0.3106949779170662
FD.111L	1.2086571541508913	0.27327055714464477
DF.85C	1.2604786357762927	0.26325295659320236
EG.205L	1.3308275377155603	0.2503892061836019
HH.445L	1.4145136359337624	0.23608160355001842
ANL2	1.4697746798987963	0.227179589473902
CC.266L	1.4790581905889473	0.2257357317697184
AD.156C	1.5227440926291003	0.21903706285559582
EG.75L	1.679746746281472	0.19686012316901888
CH.610C	1.6915453524850825	0.19527926887069358
CD.116L	1.7364313301293217	0.18949911112671738
BF.128C	1.8458739798891368	0.17618838455276867
GB.150L	1.8944766162598194	0.1706331261593439
BF.105C	1.9016349631783376	0.16983220018303577
HH.117C	1.954761777121626	0.16402188906461132
CC.262C	2.0152014779834615	0.15770055442475184
BF.206L	2.023200439756648	0.1568711711529052
EC.495C	2.0336433367639284	0.1558118261854125
CH.88L	2.1562787041167564	0.14397624745404705
DF.408C	2.217830742426529	0.13840548120160623
FD.85C	2.33798242929872	0.1282399842036291
CH.322C	2.3495729896665773	0.12731721271327304
BH.195L	2.4471150985137538	0.11972919880047879
GH.250C	2.521325158697933	0.11431532790892417
DF.260L	2.5821626316212973	0.11005798702107715
FD.81L	2.60564092577432	0.10846689594264598
FD.59C	2.6646146362807532	0.10459407264065183
GA1	2.834563036264134	0.09421819000583871
BH.107L	2.851857628154656	0.09324102078337981
GD.239L	2.869623275205372	0.09224889081143216
GD.460L	2.9089922825578967	0.0900396395780403
DF.77C	3.0286331224908403	0.08374164267545843
EC.88C	3.0639101083713296	0.08197766982977431
CH.200C	3.100836226724831	0.08017449744968357
GH.247L	3.117205305424575	0.07940116462701616
CC.188L	3.1405851114635417	0.07830599459130569
BH.96L	3.2533950966357987	0.07319290640796883
EG.66L	3.284221490977257	0.07183547231486062
DF.300C	3.510091275486007	0.06284291262477593
CD.179L	3.5106742113646856	0.06282131184745604
FD.150C	4.144894579734196	0.0434201062893588
Erecta	4.174625822273304	0.042684512796143236
FD.222L	4.2661156714580395	0.040502753760509456
CH.65C	4.358305035220249	0.03842355261818231
BH.120L	4.477017824477914	0.035911208681427956
GB.235C	5.268730640952762	0.023027107609687642
DF.231C	5.44437924878188	0.020883576837834247
AD.121C	5.565185035037221	0.01954385604352408
nga151	5.653589500411853	0.018607771537171372
DF.140C	5.722931218900508	0.01791191308980694
EG.357C	5.75616529006056	0.01758808157445337
BF.221L	5.82389313433269	0.01694690417845668
AD.106L	6.0552575345866915	0.014941167406975106
T2N18	6.465709522306431	0.011952695740726162
T6A23	6.637585873657175	0.010894581479463405
AD.129L	7.775655378236696	0.0059505990323422955
DF.184L	7.938915605234083	0.005452611321408018
GH.121L	9.41902667609875	0.0025280394333198042
MSAT2.22	9.641361560750548	0.0022529614681606534
HH.480C	9.854697631304076	0.0020219192886131924
GH.473C	10.157628543459492	0.0017323289745714762
F4I1	11.398462179089186	0.0009239595015106394
CH.160L	12.051219181806221	0.0006676304700294555
g2395	12.563085997197701	0.0005168896505262151
EC.66C	13.091462756283908	0.0003987932149612636
GD.86L	16.584365411266237	7.340268310941552e-05
BH.147L	20.56118059222618	1.131086822373961e-05
EC.480C	21.175144229890893	8.521047519775238e-06
HH.335C	22.900661283107382	3.8702305655244706e-06
DF.162L	23.63130625346467	2.7788629466651515e-06
PVV4	26.93349685213712	6.346581761358249e-07
AXR-1	29.602436920202866	1.983793737458927e-07
CRY2	34.537993150443434	2.378507076836414e-08
